Age,Gender,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,MaritalStatus,Attrition,AttritionRiskScore,RiskCategory
41,Female,Sales,Sales Executive,5993,Yes,6,Single,Yes,52.5,MEDIUM RISK
49,Male,Research & Development,Research Scientist,5130,No,10,Married,No,48.5,MEDIUM RISK
37,Male,Research & Development,Laboratory Technician,2090,Yes,0,Single,Yes,52.5,MEDIUM RISK
33,Female,Research & Development,Research Scientist,2909,Yes,8,Married,No,52.5,MEDIUM RISK
27,Male,Research & Development,Laboratory Technician,3468,No,2,Married,No,48.5,MEDIUM RISK
32,Male,Research & Development,Laboratory Technician,3068,No,7,Single,No,49.5,MEDIUM RISK
59,Female,Research & Development,Laboratory Technician,2670,Yes,1,Married,No,58.5,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,2693,No,1,Divorced,No,49.5,MEDIUM RISK
38,Male,Research & Development,Manufacturing Director,9526,No,9,Single,No,49.5,MEDIUM RISK
36,Male,Research & Development,Healthcare Representative,5237,No,7,Married,No,48.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,2426,No,5,Married,No,47.0,MEDIUM RISK
29,Female,Research & Development,Laboratory Technician,4193,Yes,9,Single,No,47.5,MEDIUM RISK
31,Male,Research & Development,Research Scientist,2911,No,5,Divorced,No,50.5,MEDIUM RISK
34,Male,Research & Development,Laboratory Technician,2661,No,2,Divorced,No,46.5,MEDIUM RISK
28,Male,Research & Development,Laboratory Technician,2028,Yes,4,Single,Yes,49.5,MEDIUM RISK
29,Female,Research & Development,Manufacturing Director,9980,No,10,Divorced,No,58.0,MEDIUM RISK
32,Male,Research & Development,Research Scientist,3298,Yes,6,Divorced,No,45.0,MEDIUM RISK
22,Male,Research & Development,Laboratory Technician,2935,Yes,1,Divorced,No,47.5,MEDIUM RISK
53,Female,Sales,Manager,15427,No,25,Married,No,52.5,MEDIUM RISK
38,Male,Research & Development,Research Scientist,3944,Yes,3,Single,No,52.0,MEDIUM RISK
24,Female,Research & Development,Manufacturing Director,4011,No,4,Divorced,No,48.5,MEDIUM RISK
36,Male,Sales,Sales Representative,3407,No,5,Single,Yes,56.5,MEDIUM RISK
34,Female,Research & Development,Research Director,11994,No,12,Single,No,50.0,MEDIUM RISK
21,Male,Research & Development,Research Scientist,1232,No,0,Single,No,52.5,MEDIUM RISK
34,Male,Research & Development,Research Scientist,2960,No,4,Single,Yes,59.0,MEDIUM RISK
53,Female,Research & Development,Manager,19094,No,14,Divorced,No,51.0,MEDIUM RISK
32,Female,Research & Development,Research Scientist,3919,Yes,10,Single,Yes,57.5,MEDIUM RISK
42,Male,Sales,Sales Executive,6825,No,9,Married,No,47.5,MEDIUM RISK
44,Female,Research & Development,Healthcare Representative,10248,No,22,Married,No,51.0,MEDIUM RISK
46,Female,Sales,Manager,18947,No,2,Single,No,58.5,MEDIUM RISK
33,Male,Research & Development,Laboratory Technician,2496,No,1,Single,No,53.0,MEDIUM RISK
44,Male,Research & Development,Healthcare Representative,6465,Yes,4,Married,No,51.5,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,2206,No,10,Single,No,53.0,MEDIUM RISK
39,Male,Sales,Sales Representative,2086,No,1,Married,Yes,49.0,MEDIUM RISK
24,Male,Research & Development,Research Scientist,2293,Yes,2,Married,Yes,52.0,MEDIUM RISK
43,Female,Research & Development,Research Scientist,2645,No,5,Divorced,No,48.5,MEDIUM RISK
50,Male,Sales,Sales Representative,2683,Yes,3,Married,Yes,48.5,MEDIUM RISK
35,Female,Sales,Sales Representative,2014,No,2,Married,No,52.5,MEDIUM RISK
36,Female,Research & Development,Research Scientist,3419,Yes,1,Married,No,59.5,MEDIUM RISK
33,Female,Sales,Sales Executive,5376,No,5,Married,No,57.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,1951,No,1,Divorced,No,49.5,MEDIUM RISK
27,Female,Research & Development,Laboratory Technician,2341,No,1,Divorced,No,60.5,HIGH RISK
26,Male,Research & Development,Laboratory Technician,2293,No,1,Single,Yes,50.0,MEDIUM RISK
27,Male,Sales,Sales Executive,8726,No,9,Single,No,52.5,MEDIUM RISK
30,Female,Research & Development,Laboratory Technician,4011,No,12,Single,No,52.0,MEDIUM RISK
41,Female,Research & Development,Research Director,19545,No,22,Married,Yes,53.5,MEDIUM RISK
34,Male,Sales,Sales Executive,4568,No,9,Single,No,49.5,MEDIUM RISK
37,Male,Research & Development,Research Scientist,3022,No,1,Married,No,54.0,MEDIUM RISK
